"SYMBOL","NAME","EXCHANGE","SECTOR","MARKET_CAP","DIV_YIELD","ADV_20D"
"ACE.NZ","Ascension Capital","NZX","Financials",28412312800,4.44,21982
"AFC.NZ","AFC Group","NZX","Industrials",64582837164,3.15,97605
"AFI.NZ","Australian Foundation Investment Company","NZX","Technology",1535337536,6.98,22907
"AFT.NZ","AFT Pharmaceuticals","NZX","Real Estate",131531445,1.82,1414865
"AGG.NZ","Smartshares Global Aggregarte Bond ETF","NZX","Materials",1299343439,0,57906
"AGL.NZ","Accordant Group","NZX","Financials",1672820648,6.48,53453
"AIA.NZ","Auckland International Airport","NZX","Communication Services",194319298,0,119740
"AIR.NZ","Air New Zealand","NZX","Financials",268457198,0.71,409389
"ALF.NZ","Allied Farmers","NZX","Materials",1842474830,6.42,62123
"ANZ.NZ","Australia & New Zealand Banking Group","NZX","Financials",29396552719,3.44,210508
"APA.NZ","The Asia Pacific Trust","NZX","Materials",519059767,7.63,46678
"APL.NZ","Asset Plus","NZX","Industrials",24120434692,5.74,1957
"ARB.NZ","ArborGen Holdings","NZX","Technology",3423839257,3.04,19359
"ARG.NZ","Argosy Property","NZX","Communication Services",267375115,0,93127
"ARV.NZ","Arvida Group","NZX","Health Care",265811465,0,9118053
"ASD.NZ","Smartshares Australian Dividend ETF","NZX","Real Estate",3355732292,5.23,1951
"ASF.NZ","Smartshares Australian Financials ETF","NZX","Technology",258456091,6.2,6296
"ASP.NZ","Smartshares Australian Property ETF","NZX","Utilities",1745676356,0.53,962453
"ASR.NZ","Smartshares Australian Resources ETF","NZX","Energy",714536481,7.29,188864
"ATM.NZ","The a2 Milk Company","NZX","Energy",781514079,6.94,1269024
"AUS.NZ","Smartshares S&P/ASX 200 ETF","NZX","Communication Services",12443502005,0,41058
"BFG.NZ","Burger Fuel","NZX","Materials",102384504,7.35,137240
"BGI.NZ","Blackwell Global Holdings","NZX","Energy",314730585,1.26,261303
"BGP.NZ","Briscoe Group","NZX","Energy",153542966,5.86,9201517
"BIT.NZ","The Bankers Investment Trust plc","NZX","Consumer Discretionary",4563783931,4.66,112046
"BLT.NZ","Blis Technologies","NZX","Consumer Discretionary",14596139735,0,77868
"BOT.NZ","Smartshares Automation and Robotics ETF","NZX","Real Estate",594036398,6.21,5582663
"BRM.NZ","Barramundi","NZX","Materials",5587413173,6.43,58410
"CBD.NZ","Cannasouth","NZX","Energy",3499051675,2.48,405108
"CEN.NZ","Contact Energy","NZX","Consumer Discretionary",383331662,5.44,2283
"CGF.NZ","Cooks Global Foods","NZX","Energy",73061652425,3.31,1632
"CMO.NZ","The Colonial Motor Company","NZX","Real Estate",92103231537,5.9,1214
